Date,Close
23-Apr-19,106.260002
22-Apr-19,108.9375
18-Apr-19,109.665001
17-Apr-19,110.0625
16-Apr-19,113.902496
15-Apr-19,111.112503
12-Apr-19,112.727501
11-Apr-19,109.375
10-Apr-19,113.010002
9-Apr-19,115.010002
8-Apr-19,114.907501
5-Apr-19,114.607498
4-Apr-19,115.5625
3-Apr-19,115.707497
2-Apr-19,118.275002
1-Apr-19,124.370003
29-Mar-19,125.857498
28-Mar-19,124.824997
27-Mar-19,126.522499
26-Mar-19,125.010002
25-Mar-19,124.807503
22-Mar-19,129.039993
21-Mar-19,134.179993
20-Mar-19,131.399994
19-Mar-19,120.879997
18-Mar-19,120.959999
15-Mar-19,112.82
14-Mar-19,117.32
13-Mar-19,113.489998
12-Mar-19,112
11-Mar-19,115.360001
8-Mar-19,115.540001
7-Mar-19,112.129997
6-Mar-19,110.339996
5-Mar-19,106.839996
4-Mar-19,110.080002
1-Mar-19,111.809998
28-Feb-19,107.120003
27-Feb-19,108.220001
26-Feb-19,112.279999
25-Feb-19,114.959999
22-Feb-19,114.089996
21-Feb-19,115.809998
20-Feb-19,116.790001
19-Feb-19,113.019997
15-Feb-19,116.5
14-Feb-19,113.160004
13-Feb-19,115.080002
12-Feb-19,114.970001
11-Feb-19,116.970001
8-Feb-19,124.400002
7-Feb-19,121.099998
6-Feb-19,121.190002
5-Feb-19,120.709999
4-Feb-19,119.019997
1-Feb-19,115.980003
31-Jan-19,117.510002
30-Jan-19,116.870003
29-Jan-19,115.75
28-Jan-19,115.040001
25-Jan-19,115.050003
24-Jan-19,116.599998
23-Jan-19,111.199997
22-Jan-19,115.32
18-Jan-19,108.860001
17-Jan-19,108.769997
16-Jan-19,110.440002
15-Jan-19,114.949997
14-Jan-19,119.029999
11-Jan-19,118.690002
10-Jan-19,116.32
9-Jan-19,115.970001
8-Jan-19,119.489998
7-Jan-19,119.209999
4-Jan-19,119.260002
3-Jan-19,120.300003
2-Jan-19,119.389999
31-Dec-18,118.029999
28-Dec-18,118.639999
27-Dec-18,117.339996
26-Dec-18,113.849998
24-Dec-18,115.169998
21-Dec-18,116.029999
20-Dec-18,116.589996
19-Dec-18,119.050003
18-Dec-18,122.720001
17-Dec-18,123.080002
14-Dec-18,122.940002
13-Dec-18,122.25
12-Dec-18,123.75
11-Dec-18,124.379997
10-Dec-18,121.779999
7-Dec-18,123.239998
6-Dec-18,122.410004
4-Dec-18,121.779999
3-Dec-18,127.879997
30-Nov-18,127.809998
29-Nov-18,128.699997
28-Nov-18,126.660004
27-Nov-18,128.229996
26-Nov-18,131.880005
23-Nov-18,130.960007
21-Nov-18,131.970001
20-Nov-18,136.690002
19-Nov-18,134.869995
16-Nov-18,133.720001
15-Nov-18,132.690002
14-Nov-18,129.410004
13-Nov-18,131.009995
12-Nov-18,126.599998
9-Nov-18,130.919998
8-Nov-18,132.050003
7-Nov-18,128.979996
6-Nov-18,128.800003
5-Nov-18,130.889999
2-Nov-18,128.910004
1-Nov-18,127.139999
31-Oct-18,127.830002
30-Oct-18,132.029999
29-Oct-18,136.869995
26-Oct-18,139.070007
25-Oct-18,142.919998
24-Oct-18,143.160004
23-Oct-18,142.059998
22-Oct-18,137.089996
19-Oct-18,131.960007
18-Oct-18,134.139999
17-Oct-18,134.990005
16-Oct-18,133.940002
15-Oct-18,137.389999
12-Oct-18,136.759995
11-Oct-18,136.910004
10-Oct-18,136.009995
