Date,COST,GOOG,AAPL
27/01/2021,356.390015,1830.790039,142.059998
28/01/2021,357.059998,1863.109985,137.089996
29/01/2021,352.429993,1835.73999,131.960007
1/02/2021,350.519989,1901.349976,134.139999
2/02/2021,355.579987,1927.51001,134.990005
3/02/2021,355.209991,2070.070068,133.940002
4/02/2021,355.850006,2062.370117,137.389999
5/02/2021,355.170013,2098,136.759995
8/02/2021,359.829987,2092.909912,136.910004
9/02/2021,359.559998,2083.51001,136.009995
10/02/2021,356.119995,2095.379883,135.389999
11/02/2021,352.200012,2095.889893,135.130005
12/02/2021,352.75,2104.110107,135.369995
16/02/2021,354,2121.899902,133.190002
17/02/2021,358.040009,2128.310059,130.839996
18/02/2021,356.920013,2117.199951,129.710007
19/02/2021,354.769989,2101.139893,129.869995
22/02/2021,350.209991,2064.879883,126
23/02/2021,342.149994,2070.860107,125.860001
24/02/2021,340.700012,2095.169922,125.349998
25/02/2021,333.899994,2031.359985,120.989998
26/02/2021,331,2036.859985,121.260002
1/03/2021,331.769989,2081.51001,127.790001
2/03/2021,328.459991,2075.840088,125.120003
3/03/2021,323.920013,2026.709961,122.059998
4/03/2021,319.040009,2049.090088,120.129997
5/03/2021,317.320007,2108.540039,121.419998
8/03/2021,311.420013,2024.170044,116.360001
9/03/2021,318.779999,2052.699951,121.089996
10/03/2021,323.829987,2055.030029,119.980003
11/03/2021,328.649994,2114.77002,121.959999
12/03/2021,331.140015,2061.919922,121.029999
15/03/2021,330.51001,2066.48999,123.989998
16/03/2021,327.25,2092.52002,125.57
17/03/2021,329.190002,2091.080078,124.760002
18/03/2021,322.980011,2036.219971,120.529999
19/03/2021,328.910004,2043.199951,119.989998
22/03/2021,334.48999,2038.589966,123.389999
23/03/2021,340.339996,2052.959961,122.540001
24/03/2021,338.040009,2045.060059,120.089996
25/03/2021,346.339996,2044.359985,120.589996
26/03/2021,352.019989,2035.550049,121.209999
29/03/2021,356.149994,2055.949951,121.389999
30/03/2021,349.75,2055.540039,119.900002
31/03/2021,352.480011,2068.629883,122.150002
1/04/2021,354.940002,2137.75,123
5/04/2021,360.820007,2225.550049,125.900002
6/04/2021,360.119995,2224.75,126.209999
7/04/2021,358.809998,2249.679932,127.900002
8/04/2021,361.220001,2265.439941,130.360001
9/04/2021,363.209991,2285.879883,133
12/04/2021,364.809998,2254.790039,131.240005
13/04/2021,365.209991,2267.27002,134.429993
14/04/2021,363.170013,2254.840088,132.029999
15/04/2021,368.799988,2296.659912,134.5
16/04/2021,370.720001,2297.76001,134.160004
19/04/2021,369.549988,2302.399902,134.839996
20/04/2021,371.730011,2293.629883,133.110001
21/04/2021,374.089996,2293.290039,133.5
22/04/2021,371.26001,2267.919922,131.940002
23/04/2021,373.279999,2315.300049,134.320007
26/04/2021,368.519989,2326.73999,134.720001
27/04/2021,370.209991,2307.120117,134.389999
28/04/2021,369.589996,2379.909912,133.580002
29/04/2021,373.540009,2429.889893,133.479996
30/04/2021,372.089996,2410.120117,131.460007
3/05/2021,379.320007,2395.169922,132.539993
4/05/2021,375.290009,2354.25,127.849998
5/05/2021,372.5,2356.73999,128.100006
6/05/2021,382.76001,2381.350098,129.740005
7/05/2021,384.320007,2398.689941,130.210007
10/05/2021,381.480011,2341.659912,126.849998
11/05/2021,378.179993,2308.76001,125.910004
12/05/2021,372.200012,2239.080078,122.769997
13/05/2021,379.529999,2261.969971,124.970001
14/05/2021,384.420013,2316.159912,127.449997
17/05/2021,383.959991,2321.409912,126.269997
18/05/2021,382.809998,2303.429932,124.849998
19/05/2021,379.660004,2308.709961,124.690002
20/05/2021,383.579987,2356.090088,127.309998
21/05/2021,380.720001,2345.100098,125.43
24/05/2021,383.450012,2406.669922,127.099998
25/05/2021,385.380005,2409.070068,126.900002
26/05/2021,385.619995,2433.530029,126.849998
27/05/2021,387.5,2402.51001,125.279999
28/05/2021,378.269989,2411.560059,124.610001
1/06/2021,378.230011,2429.810059,124.279999
2/06/2021,380.589996,2421.280029,125.059998
3/06/2021,383.869995,2404.610107,123.540001
4/06/2021,387.519989,2451.76001,125.889999
7/06/2021,380.399994,2466.090088,125.900002
8/06/2021,379.700012,2482.850098,126.739998
9/06/2021,379.959991,2491.399902,127.129997
10/06/2021,383.01001,2521.600098,126.110001
11/06/2021,381.829987,2513.929932,127.349998
14/06/2021,383.76001,2527.040039,130.479996
15/06/2021,383.910004,2520.659912,129.639999
16/06/2021,379.410004,2513.929932,130.149994
17/06/2021,384.75,2527.419922,131.789993
18/06/2021,380.880005,2511.350098,130.460007
21/06/2021,386.799988,2529.100098,132.300003
22/06/2021,392.179993,2539.98999,133.979996
23/06/2021,391.970001,2529.22998,133.699997
24/06/2021,392.070007,2545.639893,133.410004
25/06/2021,394.51001,2539.899902,133.110001
28/06/2021,396.540009,2536.389893,134.779999
29/06/2021,398.790009,2520.370117,136.330002
30/06/2021,395.670013,2506.320068,136.960007
1/07/2021,394.529999,2527.370117,137.270004
2/07/2021,398.940002,2574.379883,139.960007
6/07/2021,398.859985,2595.419922,142.020004
7/07/2021,404.679993,2601.550049,144.570007
8/07/2021,407.149994,2583.540039,143.240005
9/07/2021,412.369995,2591.48999,145.110001
12/07/2021,407.880005,2611.280029,144.5
13/07/2021,407.059998,2619.889893,145.639999
14/07/2021,409.950012,2641.649902,149.149994
15/07/2021,411.820007,2625.330078,148.479996
16/07/2021,410.369995,2636.909912,146.389999
19/07/2021,414.149994,2585.080078,142.449997
20/07/2021,416.23999,2622.030029,146.149994
21/07/2021,415.01001,2652.01001,145.399994
22/07/2021,417.540009,2666.570068,146.800003
23/07/2021,423.429993,2756.320068,148.559998
26/07/2021,423.230011,2792.889893,148.990005
27/07/2021,424.339996,2735.929932,146.770004
28/07/2021,422.220001,2727.629883,144.979996
29/07/2021,425.279999,2730.810059,145.639999
30/07/2021,429.720001,2704.419922,145.860001
