Date,Close
23-Apr-19,1482.959961
22-Apr-19,1474.449951
18-Apr-19,1464.969971
17-Apr-19,1473.609985
16-Apr-19,1500.099976
15-Apr-19,1494.48999
12-Apr-19,1496.099976
11-Apr-19,1480.319946
10-Apr-19,1506.619995
9-Apr-19,1518.449951
8-Apr-19,1507.72998
5-Apr-19,1517.97998
4-Apr-19,1558.599976
3-Apr-19,1547.530029
2-Apr-19,1581.75
1-Apr-19,1580.420044
29-Mar-19,1588.199951
28-Mar-19,1608.219971
27-Mar-19,1652.380005
26-Mar-19,1634.329956
25-Mar-19,1644.410034
22-Mar-19,1634.180054
21-Mar-19,1660.709961
20-Mar-19,1728.280029
19-Mar-19,1641.839966
18-Mar-19,1591.040039
15-Mar-19,1532.390015
14-Mar-19,1556.959961
13-Mar-19,1532.02002
12-Mar-19,1520.719971
11-Mar-19,1519.280029
8-Mar-19,1541.439941
7-Mar-19,1520.900024
6-Mar-19,1495.530029
5-Mar-19,1459.98999
4-Mar-19,1431.160034
1-Mar-19,1465.459961
28-Feb-19,1415.209961
27-Feb-19,1428.290039
26-Feb-19,1444.959961
25-Feb-19,1464.52002
22-Feb-19,1469.329956
21-Feb-19,1469.599976
20-Feb-19,1490.089966
19-Feb-19,1458.420044
15-Feb-19,1486.02002
14-Feb-19,1453.439941
13-Feb-19,1460.290039
12-Feb-19,1485.930054
11-Feb-19,1515.219971
8-Feb-19,1569.150024
7-Feb-19,1571.680054
6-Feb-19,1568.079956
5-Feb-19,1559.130005
4-Feb-19,1573.01001
1-Feb-19,1534.609985
31-Jan-19,1555.930054
30-Jan-19,1593.310059
29-Jan-19,1615.329956
28-Jan-19,1641
25-Jan-19,1590.449951
24-Jan-19,1604.26001
23-Jan-19,1516.619995
22-Jan-19,1567.23999
18-Jan-19,1621.01001
17-Jan-19,1626.030029
16-Jan-19,1650.209961
15-Jan-19,1749.130005
14-Jan-19,1763.369995
11-Jan-19,1761.75
10-Jan-19,1763
9-Jan-19,1740.390015
8-Jan-19,1752.709961
7-Jan-19,1749.839966
4-Jan-19,1777.02002
3-Jan-19,1781.380005
2-Jan-19,1770.150024
31-Dec-18,1746.780029
28-Dec-18,1763.920044
27-Dec-18,1742.189941
26-Dec-18,1734.859985
24-Dec-18,1768.880005
21-Dec-18,1771.430054
20-Dec-18,1793.189941
19-Dec-18,1760.73999
18-Dec-18,1798.099976
17-Dec-18,1827.949951
14-Dec-18,1826.77002
13-Dec-18,1827.98999
12-Dec-18,1819.47998
11-Dec-18,1818.550049
10-Dec-18,1784.130005
7-Dec-18,1775.329956
6-Dec-18,1781.77002
4-Dec-18,1760.060059
3-Dec-18,1767.77002
30-Nov-18,1763
29-Nov-18,1747.900024
28-Nov-18,1731.01001
27-Nov-18,1739.369995
26-Nov-18,1723.5
23-Nov-18,1732.380005
21-Nov-18,1738.849976
20-Nov-18,1776.089966
19-Nov-18,1758.719971
16-Nov-18,1739.52002
15-Nov-18,1751.880005
14-Nov-18,1728.23999
13-Nov-18,1740.920044
12-Nov-18,1735.290039
9-Nov-18,1787.25
8-Nov-18,1807.209961
7-Nov-18,1766.719971
6-Nov-18,1746.550049
5-Nov-18,1754.400024
2-Nov-18,1740.180054
1-Nov-18,1736.189941
31-Oct-18,1790.859985
30-Oct-18,1886.900024
29-Oct-18,1891.25
26-Oct-18,1901.050049
25-Oct-18,1899.400024
24-Oct-18,1917.23999
23-Oct-18,1830.790039
22-Oct-18,1863.109985
19-Oct-18,1835.73999
18-Oct-18,1901.349976
17-Oct-18,1927.51001
16-Oct-18,2070.070068
15-Oct-18,2062.370117
12-Oct-18,2098
11-Oct-18,2092.909912
10-Oct-18,2083.51001
